County,State,FIPS,pov 1a0c,pov 1a1c,pov 1a2c,pov 1a3c,pov 2a1w0c,pov 2a1w1c,pov 2a1w2c,pov 2a1w3c,pov 2a2w0c,pov 2a2w1c,pov 2a2w2c,pov 2a2w3c,live 1a0c,live 1a1c,live 1a2c,live 1a3c,live 2a1w0c,live 2a1w1c,live 2a1w2c,live 2a1w3c,live 2a2w0c,live 2a2w1c,live 2a2w2c,live 2a2w3c,min 1a0c,min 1a1c,min 1a2c,min 1a3c,min 2a1w0c,min 2a1w1c,min 2a1w2c,min 2a1w3c,min 2a2w0c,min 2a2w1c,min 2a2w2c,min 2a2w3c,pct_less_hs,pct_hs,pct_some_college,pct_college,crime_per_10k,unemployment_rate_2019,median_household_income_2019
Henry County,AL,1067,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.84,$25.12,$30.50,$38.45,$21.31,$25.13,$28.74,$30.35,$10.66,$13.95,$17.13,$19.31,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,20.6,32.6,29.8,17.1,283.24,3.6,48597
Houston County,AL,1069,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.02,$25.50,$30.89,$38.87,$21.21,$25.52,$29.12,$30.78,$10.61,$14.14,$17.32,$19.52,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,14,31.2,33.1,21.7,409.17,3,50138
Jackson County,AL,1071,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.44,$25.11,$30.23,$37.61,$21.53,$25.38,$28.99,$30.29,$10.76,$13.94,$16.99,$18.89,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,16.8,41,28.2,14,91.14,3.3,44322
Jefferson County,AL,1073,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$15.16,$28.54,$34.69,$44.12,$23.74,$27.80,$31.40,$33.74,$11.87,$15.66,$19.22,$22.15,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,9.9,26.4,30.3,33.4,111.88,2.9,54127
Lamar County,AL,1075,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.81,$25.54,$31.34,$40.14,$21.44,$25.13,$28.74,$30.78,$10.72,$14.16,$17.55,$20.16,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,17.7,39.8,30.6,11.9,74.82,3.1,42686
Lauderdale County,AL,1077,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.98,$26.92,$33.37,$42.36,$21.63,$25.86,$29.46,$31.05,$10.82,$14.84,$18.56,$21.26,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,12.6,36,27.9,23.5,256.93,3.3,48188
Lawrence County,AL,1079,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.85,$26.72,$33.18,$42.19,$21.50,$25.67,$29.27,$30.88,$10.75,$14.75,$18.46,$21.18,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,20.7,41.2,25.5,12.6,178.1,3.2,47797
Lee County,AL,1081,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.45,$27.54,$33.93,$43.25,$22.05,$26.55,$30.15,$32.14,$11.02,$15.16,$18.84,$21.71,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,9.1,23.7,31.8,35.3,227.47,2.8,54160
Limestone County,AL,1083,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.47,$27.40,$33.85,$43.26,$22.31,$26.34,$29.95,$31.95,$11.16,$15.09,$18.80,$21.72,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,15.3,30.4,28.6,25.7,83.23,2.7,64729
Lowndes County,AL,1085,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.58,$27.37,$33.45,$42.19,$22.61,$26.69,$30.29,$32.00,$11.30,$15.07,$18.60,$21.18,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,21.7,39.6,24,14.7,23.41,5.8,33930
Marion County,AL,1087,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.72,$25.54,$31.34,$39.75,$20.92,$25.13,$28.74,$30.39,$10.46,$14.16,$17.55,$19.96,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,18.2,30.2,31.2,20.4,130.45,4.3,34281
Macon County,AL,1087,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.85,$26.30,$32.69,$41.32,$21.06,$25.31,$28.92,$30.20,$10.53,$14.54,$18.22,$20.74,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,18.2,30.2,31.2,20.4,130.45,4.3,34281
Marion County,AL,1089,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.72,$25.54,$31.34,$39.75,$20.92,$25.13,$28.74,$30.39,$10.46,$14.16,$17.55,$19.96,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,8.3,20.6,28.3,42.8,116.09,2.6,68609
Madison County,AL,1089,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.47,$27.40,$33.85,$43.26,$22.31,$26.34,$29.95,$31.95,$11.16,$15.09,$18.80,$21.72,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,8.3,20.6,28.3,42.8,116.09,2.6,68609
Marengo County,AL,1091,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.81,$25.54,$31.34,$40.20,$21.44,$25.13,$28.74,$30.83,$10.72,$14.16,$17.55,$20.19,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,16.2,38,29.8,16.1,238.78,3.5,38838
Marion County,AL,1093,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.72,$25.54,$31.34,$39.75,$20.92,$25.13,$28.74,$30.39,$10.46,$14.16,$17.55,$19.96,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,20.4,34.8,32,12.8,226.4,3.5,44675
Madison County,AL,1093,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.47,$27.40,$33.85,$43.26,$22.31,$26.34,$29.95,$31.95,$11.16,$15.09,$18.80,$21.72,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,20.4,34.8,32,12.8,226.4,3.5,44675
Marshall County,AL,1095,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.84,$25.01,$30.13,$37.95,$21.04,$25.28,$28.89,$30.63,$10.52,$13.89,$16.94,$19.06,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,18.4,31.1,31.1,19.4,257.41,2.5,48913
"Mobile, AL",AL,1097,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$14.15,$27.38,$33.42,$42.54,$22.37,$26.74,$30.34,$32.47,$11.17,$15.08,$18.59,$21.36,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,13.5,34,29.3,23.2,118.22,3.7,49492
Mobile County,AL,1097,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$14.37,$27.78,$33.96,$43.30,$22.59,$27.00,$30.60,$32.81,$11.29,$15.28,$18.85,$21.73,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,13.5,34,29.3,23.2,118.22,3.7,49492
Monroe County,AL,1099,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.81,$25.91,$32.09,$40.46,$21.44,$25.13,$28.74,$29.98,$10.72,$14.34,$17.92,$20.32,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,14.4,47.2,24.9,13.5,13.44,4.8,40005
"Montgomery, AL",AL,1101,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.56,$27.35,$33.42,$42.17,$22.59,$26.66,$30.27,$31.98,$10.87,$15.06,$18.59,$21.17,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,13.3,25,28.4,33.4,38.12,3.1,52711
Montgomery County,AL,1101,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.58,$27.37,$33.45,$42.19,$22.61,$26.69,$30.29,$32.00,$11.30,$15.07,$18.60,$21.18,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,13.3,25,28.4,33.4,38.12,3.1,52711
Morgan County,AL,1103,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.85,$26.72,$33.18,$42.19,$21.50,$25.67,$29.27,$30.88,$10.75,$14.75,$18.46,$21.18,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,15.9,30.4,31.3,22.4,228.57,2.6,54355
Perry County,AL,1105,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.15,$25.54,$31.34,$39.45,$21.44,$25.13,$28.74,$30.09,$10.72,$14.16,$17.55,$19.81,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,17.2,36.9,23.1,22.8,155.94,5.3,29572
