,State,County,1a1w0c,1a1w1c,1a1w2c,1a1w3c,2a1w0c,2a1w1c,2a1w2c,2a1w3c,2a2w0c,2a2w1c,2a2w2c,2a2w3c
63,Alabama,Cullman County,$12.77,$26.43,$32.88,$42.06,$21.35,$25.37,$28.97,$30.75,$10.67,$14.60,$18.31,$21.12
66,Alabama,Dale County,$12.98,$25.12,$30.50,$38.55,$21.18,$25.13,$28.74,$30.45,$10.59,$13.95,$17.13,$19.36
69,Alabama,Dallas County,$12.92,$25.86,$31.94,$40.31,$21.19,$25.18,$28.78,$30.12,$10.60,$14.32,$17.85,$20.24
72,Alabama,DeKalb County,$12.72,$24.86,$29.98,$37.69,$20.92,$25.13,$28.74,$30.37,$10.46,$13.82,$16.87,$18.93
75,Alabama,Elmore County,$13.58,$27.37,$33.45,$42.19,$22.61,$26.69,$30.29,$32.00,$11.30,$15.07,$18.60,$21.18
78,Alabama,Escambia County,$12.81,$25.91,$32.09,$40.83,$21.44,$25.13,$28.74,$30.35,$10.72,$14.34,$17.92,$20.50
81,Alabama,Etowah County,$13.16,$25.44,$30.56,$38.11,$21.36,$25.71,$29.31,$30.79,$10.68,$14.10,$17.15,$19.14
84,Alabama,Fayette County,$12.81,$25.54,$31.34,$39.53,$21.44,$25.13,$28.74,$30.16,$10.72,$14.16,$17.55,$19.85
87,Alabama,Franklin County,$12.81,$26.19,$32.64,$41.37,$21.34,$25.13,$28.74,$30.06,$10.67,$14.48,$18.20,$20.77
90,Alabama,Geneva County,$13.02,$25.50,$30.89,$38.87,$21.21,$25.52,$29.12,$30.78,$10.61,$14.14,$17.32,$19.52
93,Alabama,Greene County,$12.81,$25.54,$31.34,$39.71,$21.44,$25.13,$28.74,$30.35,$10.72,$14.16,$17.55,$19.94
96,Alabama,Hale County,$14.55,$27.48,$33.29,$41.96,$22.86,$27.08,$30.68,$32.60,$11.43,$15.13,$18.52,$21.07
99,Alabama,Henry County,$12.84,$25.12,$30.50,$38.45,$21.31,$25.13,$28.74,$30.35,$10.66,$13.95,$17.13,$19.31
102,Alabama,Houston County,$13.02,$25.50,$30.89,$38.87,$21.21,$25.52,$29.12,$30.78,$10.61,$14.14,$17.32,$19.52
105,Alabama,Jackson County,$12.44,$25.11,$30.23,$37.61,$21.53,$25.38,$28.99,$30.29,$10.76,$13.94,$16.99,$18.89
108,Alabama,Jefferson County,$15.16,$28.54,$34.69,$44.12,$23.74,$27.80,$31.40,$33.74,$11.87,$15.66,$19.22,$22.15
111,Alabama,Lamar County,$12.81,$25.54,$31.34,$40.14,$21.44,$25.13,$28.74,$30.78,$10.72,$14.16,$17.55,$20.16
114,Alabama,Lauderdale County,$12.98,$26.92,$33.37,$42.36,$21.63,$25.86,$29.46,$31.05,$10.82,$14.84,$18.56,$21.26
117,Alabama,Lawrence County,$12.85,$26.72,$33.18,$42.19,$21.50,$25.67,$29.27,$30.88,$10.75,$14.75,$18.46,$21.18
120,Alabama,Lee County,$13.45,$27.54,$33.93,$43.25,$22.05,$26.55,$30.15,$32.14,$11.02,$15.16,$18.84,$21.71
123,Alabama,Limestone County,$13.47,$27.40,$33.85,$43.26,$22.31,$26.34,$29.95,$31.95,$11.16,$15.09,$18.80,$21.72
126,Alabama,Lowndes County,$13.58,$27.37,$33.45,$42.19,$22.61,$26.69,$30.29,$32.00,$11.30,$15.07,$18.60,$21.18
129,Alabama,Macon County,$12.85,$26.30,$32.69,$41.32,$21.06,$25.31,$28.92,$30.20,$10.53,$14.54,$18.22,$20.74
132,Alabama,Madison County,$13.47,$27.40,$33.85,$43.26,$22.31,$26.34,$29.95,$31.95,$11.16,$15.09,$18.80,$21.72
135,Alabama,Marengo County,$12.81,$25.54,$31.34,$40.20,$21.44,$25.13,$28.74,$30.83,$10.72,$14.16,$17.55,$20.19
138,Alabama,Marion County,$12.72,$25.54,$31.34,$39.75,$20.92,$25.13,$28.74,$30.39,$10.46,$14.16,$17.55,$19.96
141,Alabama,Marshall County,$12.84,$25.01,$30.13,$37.95,$21.04,$25.28,$28.89,$30.63,$10.52,$13.89,$16.94,$19.06
144,Alabama,Mobile County,$14.37,$27.78,$33.96,$43.30,$22.59,$27.00,$30.60,$32.81,$11.29,$15.28,$18.85,$21.73
147,Alabama,Monroe County,$12.81,$25.91,$32.09,$40.46,$21.44,$25.13,$28.74,$29.98,$10.72,$14.34,$17.92,$20.32
150,Alabama,Montgomery County,$13.58,$27.37,$33.45,$42.19,$22.61,$26.69,$30.29,$32.00,$11.30,$15.07,$18.60,$21.18
153,Alabama,Morgan County,$12.85,$26.72,$33.18,$42.19,$21.50,$25.67,$29.27,$30.88,$10.75,$14.75,$18.46,$21.18
156,Alabama,Perry County,$13.15,$25.54,$31.34,$39.45,$21.44,$25.13,$28.74,$30.09,$10.72,$14.16,$17.55,$19.81
159,Alabama,Pickens County,$12.89,$25.54,$31.34,$39.79,$21.09,$25.13,$28.74,$30.43,$10.55,$14.16,$17.55,$19.98
162,Alabama,Pike County,$12.67,$25.19,$30.57,$38.65,$21.50,$25.21,$28.81,$30.55,$10.75,$13.98,$17.16,$19.41
165,Alabama,Randolph County,$12.81,$25.12,$30.50,$38.61,$21.43,$25.13,$28.74,$30.51,$10.72,$13.95,$17.13,$19.39
168,Alabama,Russell County,$13.66,$27.39,$33.78,$43.22,$22.38,$26.40,$30.01,$32.11,$11.19,$15.08,$18.77,$21.70
171,Alabama,Shelby County,$15.16,$28.54,$34.69,$44.12,$23.74,$27.80,$31.40,$33.74,$11.87,$15.66,$19.22,$22.15
174,Alabama,St. Clair County,$15.16,$28.54,$34.69,$44.12,$23.74,$27.80,$31.40,$33.74,$11.87,$15.66,$19.22,$22.15
177,Alabama,Sumter County,$13.40,$26.45,$32.25,$40.47,$21.61,$26.04,$29.64,$31.10,$10.80,$14.61,$18.00,$20.32
180,Alabama,Talladega County,$12.89,$25.35,$30.73,$38.55,$21.09,$25.36,$28.97,$30.45,$10.55,$14.06,$17.24,$19.36
183,Alabama,Tallapoosa County,$13.04,$26.13,$32.51,$41.87,$21.29,$25.13,$28.74,$30.76,$10.65,$14.45,$18.13,$21.02
186,Alabama,Tuscaloosa County,$14.55,$27.48,$33.29,$41.96,$22.86,$27.08,$30.68,$32.60,$11.43,$15.13,$18.52,$21.07
189,Alabama,Walker County,$13.46,$26.87,$33.02,$41.60,$21.67,$26.12,$29.73,$31.21,$10.83,$14.82,$18.38,$20.88
192,Alabama,Washington County,$12.84,$25.96,$32.13,$40.68,$21.09,$25.18,$28.78,$30.20,$10.55,$14.36,$17.94,$20.43
195,Alabama,Wilcox County,$12.81,$25.82,$31.90,$40.96,$21.44,$25.13,$28.74,$30.77,$10.72,$14.29,$17.82,$20.57
198,Alabama,Winston County,$12.72,$26.19,$32.64,$42.14,$20.92,$25.13,$28.74,$30.83,$10.46,$14.48,$18.20,$21.16
201,Alabama,"Anniston-Oxford-Jacksonville, AL",$12.74,$25.72,$31.10,$39.10,$21.37,$25.74,$29.34,$31.00,$10.46,$14.25,$17.43,$19.64
204,Alabama,"Auburn-Opelika, AL",$13.43,$27.52,$33.91,$43.23,$22.02,$26.53,$30.13,$32.11,$10.80,$15.14,$18.83,$21.70
207,Alabama,"Birmingham-Hoover, AL",$15.31,$28.96,$35.30,$45.01,$23.89,$28.01,$31.61,$34.03,$11.74,$15.86,$19.52,$22.59
210,Alabama,"Daphne-Fairhope-Foley, AL",$14.71,$28.05,$34.23,$43.91,$22.92,$27.27,$30.88,$33.43,$11.44,$15.41,$18.99,$22.04
213,Alabama,"Decatur, AL",$12.83,$26.70,$33.15,$42.16,$21.47,$25.64,$29.25,$30.85,$10.50,$14.74,$18.45,$21.17
216,Alabama,"Dothan, AL",$12.97,$25.44,$30.82,$38.80,$21.20,$25.45,$29.05,$30.70,$10.57,$14.10,$17.28,$19.49
219,Alabama,"Florence-Muscle Shoals, AL",$12.96,$26.89,$33.34,$42.33,$21.61,$25.84,$29.44,$31.02,$10.57,$14.83,$18.55,$21.25
222,Alabama,"Gadsden, AL",$13.13,$25.41,$30.54,$38.09,$21.34,$25.69,$29.29,$30.77,$10.66,$14.09,$17.14,$19.13
225,Alabama,"Huntsville, AL",$13.45,$27.38,$33.83,$43.24,$22.29,$26.32,$29.92,$31.93,$10.81,$15.07,$18.79,$21.71
228,Alabama,"Mobile, AL",$14.15,$27.38,$33.42,$42.54,$22.37,$26.74,$30.34,$32.47,$11.17,$15.08,$18.59,$21.36
231,Alabama,"Montgomery, AL",$13.56,$27.35,$33.42,$42.17,$22.59,$26.66,$30.27,$31.98,$10.87,$15.06,$18.59,$21.17
234,Alabama,"Tuscaloosa, AL",$14.23,$26.99,$32.69,$41.18,$22.52,$26.69,$30.29,$32.13,$11.20,$14.88,$18.22,$20.68
237,Alaska,Aleutians East Borough,$14.67,$28.92,$35.73,$45.58,$22.86,$27.59,$31.14,$33.53,$11.43,$15.87,$19.72,$23.00
240,Alaska,Aleutians West Census Area,$16.67,$33.56,$41.32,$53.02,$25.68,$31.29,$34.84,$38.14,$12.84,$18.19,$22.52,$26.72
243,Alaska,Anchorage Municipality,$15.27,$30.21,$37.64,$49.98,$23.38,$28.28,$31.82,$36.11,$11.69,$16.52,$20.67,$25.20
246,Alaska,Bethel Census Area,$17.28,$31.25,$37.14,$46.87,$26.68,$30.84,$34.39,$37.59,$13.34,$17.04,$20.43,$23.64
249,Alaska,Bristol Bay Borough,$14.66,$29.80,$37.51,$49.08,$23.14,$27.58,$31.13,$34.36,$11.57,$16.32,$20.61,$24.75
252,Alaska,Denali Borough,$16.25,$32.03,$39.71,$50.98,$24.68,$29.84,$33.39,$36.34,$12.34,$17.43,$21.71,$25.70
255,Alaska,Dillingham Census Area,$15.38,$29.54,$35.70,$46.26,$24.48,$28.87,$32.41,$36.17,$12.24,$16.18,$19.71,$23.34
258,Alaska,Fairbanks North Star Borough,$14.79,$31.08,$39.23,$52.36,$23.49,$28.41,$31.96,$36.29,$11.74,$16.95,$21.47,$26.39
261,Alaska,Haines Borough,$13.98,$28.79,$36.47,$47.86,$22.19,$26.61,$30.16,$33.25,$11.10,$15.81,$20.09,$24.14
264,Alaska,Hoonah-Angoon Census Area,$13.32,$27.12,$33.57,$43.37,$22.57,$26.16,$29.71,$32.41,$11.28,$14.97,$18.64,$21.89
267,Alaska,Juneau City and Borough,$15.48,$29.99,$36.00,$47.42,$24.48,$29.46,$33.01,$37.78,$12.24,$16.41,$19.86,$23.91
270,Alaska,Kenai Peninsula Borough,$15.01,$29.85,$37.67,$49.29,$22.81,$27.52,$31.07,$34.24,$11.40,$16.34,$20.69,$24.85
273,Alaska,Ketchikan Gateway Borough,$15.18,$28.32,$33.12,$42.34,$23.94,$29.01,$32.55,$36.33,$11.97,$15.57,$18.42,$21.38
276,Alaska,Kodiak Island Borough,$15.83,$30.96,$38.29,$50.91,$24.03,$29.13,$32.68,$37.33,$12.01,$16.90,$21.00,$25.66
279,Alaska,Kusilvak Census Area,$13.44,$25.14,$29.92,$37.30,$21.65,$25.85,$29.40,$31.36,$10.82,$13.98,$16.82,$18.86
282,Alaska,Lake and Peninsula Borough,$13.27,$25.54,$30.97,$39.37,$21.61,$25.61,$29.16,$31.49,$10.80,$14.19,$17.34,$19.89
285,Alaska,Matanuska-Susitna Borough,$13.97,$28.09,$35.15,$46.36,$22.05,$26.52,$30.07,$33.57,$11.03,$15.46,$19.43,$23.38
288,Alaska,Nome Census Area,$17.59,$31.51,$37.69,$47.69,$26.11,$30.82,$34.37,$37.56,$13.06,$17.17,$20.70,$24.05
291,Alaska,North Slope Borough,$16.45,$31.13,$38.29,$48.94,$24.72,$29.46,$33.01,$35.86,$12.36,$16.98,$21.00,$24.68
294,Alaska,Northwest Arctic Borough,$17.08,$29.92,$36.33,$47.10,$24.87,$28.99,$32.54,$36.26,$12.44,$16.37,$20.02,$23.76
297,Alaska,Petersburg Borough,$14.14,$28.58,$35.23,$44.86,$23.16,$27.42,$30.97,$33.32,$11.58,$15.70,$19.47,$22.64
300,Alaska,Prince of Wales-Hyder Census Area,$14.43,$27.40,$33.30,$42.07,$22.42,$27.00,$30.55,$32.79,$11.21,$15.12,$18.50,$21.24
303,Alaska,Sitka City and Borough,$15.37,$29.63,$36.56,$48.23,$24.01,$28.19,$31.74,$35.86,$12.01,$16.23,$20.13,$24.32
306,Alaska,Skagway Municipality,$15.67,$30.26,$37.22,$48.03,$24.63,$28.78,$32.33,$35.53,$12.32,$16.54,$20.47,$24.22
309,Alaska,Southeast Fairbanks Census Area,$15.11,$29.66,$36.58,$48.40,$24.13,$28.22,$31.77,$36.03,$12.06,$16.24,$20.15,$24.41
312,Alaska,Valdez-Cordova Census Area,$14.43,$29.92,$37.49,$48.15,$24.05,$27.85,$31.39,$33.85,$12.02,$16.38,$20.60,$24.28
315,Alaska,Wrangell City and Borough,$14.12,$26.89,$32.99,$42.12,$21.88,$26.29,$29.84,$32.24,$10.94,$14.86,$18.35,$21.27
318,Alaska,Yakutat City and Borough,$14.79,$28.86,$35.45,$45.11,$23.00,$27.77,$31.31,$33.75,$11.50,$15.84,$19.58,$22.76
321,Alaska,Yukon-Koyukuk Census Area,$12.84,$24.55,$29.60,$38.11,$21.55,$25.00,$28.55,$31.37,$10.77,$13.69,$16.66,$19.26
324,Alaska,"Anchorage, AK",$14.93,$29.65,$36.98,$49.02,$23.03,$27.81,$31.36,$35.44,$11.33,$16.24,$20.35,$24.72
327,Alaska,"Fairbanks, AK",$14.79,$31.08,$39.23,$52.36,$23.49,$28.41,$31.96,$36.29,$11.26,$16.95,$21.47,$26.39
330,Arizona,Apache County,$13.32,$27.35,$34.06,$43.68,$22.59,$26.42,$30.15,$32.39,$11.30,$15.16,$18.98,$22.06
333,Arizona,Cochise County,$14.40,$27.52,$33.44,$43.14,$23.08,$27.36,$31.10,$34.20,$11.54,$15.25,$18.67,$21.79
336,Arizona,Coconino County,$16.58,$31.18,$37.89,$48.43,$25.66,$30.25,$33.98,$37.14,$12.83,$17.08,$20.90,$24.43
339,Arizona,Gila County,$14.70,$28.68,$35.31,$45.31,$23.38,$27.82,$31.55,$34.25,$11.69,$15.83,$19.61,$22.87
342,Arizona,Graham County,$13.95,$27.49,$33.42,$43.11,$23.57,$27.34,$31.07,$34.16,$11.78,$15.23,$18.66,$21.77
345,Arizona,Greenlee County,$13.27,$26.51,$32.43,$41.03,$22.86,$26.36,$30.09,$32.09,$11.43,$14.74,$18.17,$20.73
348,Arizona,La Paz County,$13.97,$27.13,$32.66,$41.45,$23.03,$27.36,$31.10,$33.68,$11.52,$15.05,$18.28,$20.94
351,Arizona,Maricopa County,$15.76,$29.72,$35.62,$46.16,$25.20,$29.59,$33.32,$37.30,$12.60,$16.35,$19.76,$23.30
354,Arizona,Mohave County,$14.23,$27.22,$32.76,$42.11,$23.36,$27.46,$31.20,$34.34,$11.68,$15.10,$18.33,$21.27
357,Arizona,Navajo County,$13.91,$27.91,$34.62,$44.44,$22.80,$26.98,$30.71,$33.15,$11.40,$15.44,$19.26,$22.44
360,Arizona,Pima County,$14.14,$28.86,$35.49,$46.17,$23.53,$28.01,$31.75,$35.13,$11.76,$15.92,$19.70,$23.30
363,Arizona,Pinal County,$15.76,$30.45,$37.08,$48.35,$25.20,$29.59,$33.32,$37.30,$12.60,$16.71,$20.49,$24.40
366,Arizona,Santa Cruz County,$13.54,$26.78,$32.70,$41.58,$22.47,$26.62,$30.36,$32.64,$11.23,$14.88,$18.30,$21.01
369,Arizona,Yavapai County,$14.82,$29.49,$36.20,$46.91,$23.95,$28.56,$32.29,$35.62,$11.97,$16.23,$20.05,$23.67
372,Arizona,Yuma County,$13.82,$26.84,$32.37,$41.55,$22.82,$27.07,$30.81,$33.78,$11.41,$14.91,$18.14,$20.99
375,Arizona,"Flagstaff, AZ",$16.24,$30.84,$37.55,$48.08,$25.32,$29.90,$33.63,$36.79,$12.45,$16.91,$20.73,$24.26
378,Arizona,"Lake Havasu City-Kingman, AZ",$13.88,$26.88,$32.41,$41.76,$23.02,$27.12,$30.85,$33.99,$11.27,$14.93,$18.16,$21.10
381,Arizona,"Phoenix-Mesa-Scottsdale, AZ",$15.41,$29.44,$35.40,$46.01,$24.85,$29.25,$32.98,$36.95,$12.03,$16.21,$19.65,$23.23
384,Arizona,"Prescott, AZ",$14.47,$29.14,$35.85,$46.57,$23.60,$28.21,$31.94,$35.28,$11.57,$16.06,$19.88,$23.50
387,Arizona,"Sierra Vista-Douglas, AZ",$14.05,$27.17,$33.10,$42.80,$22.74,$27.02,$30.75,$33.85,$11.35,$15.07,$18.50,$21.62
390,Arizona,"Tucson, AZ",$13.80,$28.52,$35.14,$45.83,$23.18,$27.67,$31.40,$34.79,$11.23,$15.75,$19.52,$23.13
393,Arizona,"Yuma, AZ",$13.47,$26.49,$32.03,$41.21,$22.47,$26.73,$30.46,$33.43,$11.06,$14.73,$17.97,$20.82
396,Arkansas,Arkansas County,$13.10,$27.89,$34.24,$43.23,$22.34,$27.07,$30.77,$32.43,$11.17,$15.37,$19.04,$21.70
399,Arkansas,Ashley County,$13.04,$26.97,$32.48,$40.77,$22.75,$26.99,$30.68,$32.48,$11.37,$14.90,$18.16,$20.47
402,Arkansas,Baxter County,$13.18,$28.46,$34.97,$43.88,$22.66,$27.49,$31.18,$32.61,$11.33,$15.65,$19.41,$22.03
405,Arkansas,Benton County,$13.94,$31.48,$40.21,$52.59,$23.38,$28.28,$31.97,$34.64,$11.69,$17.16,$22.03,$26.38
408,Arkansas,Boone County,$13.04,$27.66,$33.86,$43.25,$22.45,$26.99,$30.68,$32.89,$11.23,$15.25,$18.85,$21.72
411,Arkansas,Bradley County,$13.04,$26.93,$32.40,$40.27,$22.58,$26.99,$30.68,$32.10,$11.29,$14.88,$18.12,$20.22
414,Arkansas,Calhoun County,$13.28,$27.27,$32.74,$40.58,$22.66,$27.33,$31.02,$32.41,$11.33,$15.06,$18.29,$20.38
417,Arkansas,Carroll County,$13.23,$26.83,$32.14,$39.75,$22.48,$27.04,$30.74,$32.06,$11.24,$14.83,$17.99,$19.96
420,Arkansas,Chicot County,$13.04,$26.85,$32.24,$40.38,$22.82,$26.99,$30.68,$32.45,$11.41,$14.84,$18.04,$20.28
423,Arkansas,Clark County,$12.86,$26.93,$32.40,$40.48,$22.56,$26.99,$30.68,$32.30,$11.28,$14.88,$18.12,$20.33
426,Arkansas,Clay County,$13.04,$26.69,$31.92,$39.60,$22.27,$26.99,$30.68,$32.14,$11.14,$14.77,$17.88,$19.89
429,Arkansas,Cleburne County,$13.30,$27.61,$33.40,$41.78,$22.55,$27.35,$31.05,$32.65,$11.27,$15.23,$18.62,$20.98
432,Arkansas,Cleveland County,$13.47,$27.53,$33.01,$40.93,$22.73,$27.59,$31.29,$32.76,$11.37,$15.19,$18.43,$20.55
435,Arkansas,Columbia County,$13.33,$27.76,$34.07,$43.12,$22.46,$26.99,$30.68,$32.44,$11.23,$15.30,$18.96,$21.65
438,Arkansas,Conway County,$12.87,$27.44,$33.43,$41.96,$22.27,$26.99,$30.68,$32.24,$11.14,$15.14,$18.64,$21.07
441,Arkansas,Craighead County,$13.46,$28.91,$35.18,$44.75,$23.37,$28.18,$31.87,$34.19,$11.68,$15.88,$19.51,$22.46
444,Arkansas,Crawford County,$13.32,$28.05,$34.24,$43.51,$22.58,$27.39,$31.09,$33.19,$11.29,$15.45,$19.04,$21.84
447,Arkansas,Crittenden County,$14.52,$29.89,$36.48,$46.54,$24.29,$28.84,$32.53,$35.03,$12.15,$16.37,$20.16,$23.36
450,Arkansas,Cross County,$13.33,$28.44,$35.03,$44.08,$22.58,$27.39,$31.08,$32.57,$11.29,$15.64,$19.44,$22.13
453,Arkansas,Dallas County,$13.04,$26.97,$32.48,$40.95,$22.27,$26.99,$30.68,$32.66,$11.14,$14.90,$18.16,$20.56
456,Arkansas,Desha County,$13.04,$27.04,$32.62,$40.98,$22.27,$26.99,$30.68,$32.48,$11.14,$14.94,$18.23,$20.58
459,Arkansas,Drew County,$13.04,$27.01,$32.56,$40.80,$22.27,$26.99,$30.68,$32.39,$11.14,$14.92,$18.20,$20.49
462,Arkansas,Faulkner County,$14.34,$29.25,$35.77,$45.48,$23.80,$28.26,$31.95,$34.15,$11.90,$16.04,$19.81,$22.83
465,Arkansas,Franklin County,$13.04,$26.93,$32.40,$40.16,$22.82,$26.99,$30.68,$31.99,$11.41,$14.88,$18.12,$20.17
468,Arkansas,Fulton County,$13.04,$28.04,$34.63,$44.24,$22.27,$26.99,$30.68,$32.73,$11.14,$15.44,$19.24,$22.21
471,Arkansas,Garland County,$13.72,$29.39,$36.30,$45.81,$23.06,$28.02,$31.72,$33.34,$11.53,$16.12,$20.07,$22.99
474,Arkansas,Grant County,$13.81,$27.82,$33.61,$41.83,$23.22,$27.56,$31.26,$32.71,$11.61,$15.33,$18.73,$21.00
477,Arkansas,Greene County,$13.37,$27.74,$33.56,$42.60,$23.22,$27.45,$31.14,$33.38,$11.61,$15.29,$18.70,$21.39
480,Arkansas,Hempstead County,$13.10,$27.26,$32.97,$40.99,$22.34,$27.08,$30.78,$32.10,$11.17,$15.05,$18.41,$20.58
483,Arkansas,Hot Spring County,$13.05,$27.18,$32.89,$41.20,$22.58,$27.01,$30.70,$32.32,$11.29,$15.01,$18.37,$20.69
486,Arkansas,Howard County,$13.08,$26.53,$31.61,$39.08,$22.43,$26.99,$30.68,$32.11,$11.22,$14.69,$17.73,$19.63
489,Arkansas,Independence County,$13.23,$27.38,$33.10,$41.14,$22.44,$27.20,$30.90,$32.25,$11.22,$15.11,$18.47,$20.66
492,Arkansas,Izard County,$12.85,$27.40,$33.36,$41.77,$22.27,$26.99,$30.68,$32.17,$11.14,$15.12,$18.60,$20.98
495,Arkansas,Jackson County,$13.00,$27.48,$33.51,$41.82,$22.27,$26.99,$30.68,$31.98,$11.14,$15.16,$18.68,$21.00
498,Arkansas,Jefferson County,$13.47,$28.01,$33.96,$42.36,$22.73,$27.59,$31.29,$32.76,$11.37,$15.43,$18.90,$21.27
501,Arkansas,Johnson County,$13.00,$27.65,$33.76,$42.30,$22.34,$27.07,$30.77,$32.22,$11.17,$15.25,$18.80,$21.24
504,Arkansas,Lafayette County,$13.04,$26.45,$31.45,$39.09,$22.55,$26.99,$30.68,$32.35,$11.27,$14.65,$17.65,$19.63
507,Arkansas,Lawrence County,$13.04,$27.04,$32.62,$40.86,$22.32,$26.99,$30.68,$32.35,$11.16,$14.94,$18.23,$20.52
510,Arkansas,Lee County,$13.04,$28.91,$36.38,$47.02,$22.30,$26.99,$30.68,$32.89,$11.15,$15.88,$20.11,$23.60
513,Arkansas,Lincoln County,$13.47,$27.49,$32.93,$40.81,$22.73,$27.59,$31.29,$32.76,$11.37,$15.17,$18.39,$20.49
516,Arkansas,Little River County,$13.15,$26.69,$31.92,$40.22,$22.27,$26.99,$30.68,$32.76,$11.14,$14.77,$17.88,$20.20
519,Arkansas,Logan County,$13.04,$26.85,$32.24,$39.96,$22.61,$26.99,$30.68,$32.03,$11.31,$14.84,$18.04,$20.07
522,Arkansas,Lonoke County,$14.34,$29.47,$36.21,$46.14,$23.80,$28.26,$31.95,$34.15,$11.90,$16.16,$20.03,$23.16
525,Arkansas,Madison County,$13.94,$29.73,$36.71,$47.34,$23.38,$28.28,$31.97,$34.64,$11.69,$16.29,$20.28,$23.76
528,Arkansas,Marion County,$12.77,$26.77,$32.08,$39.68,$22.45,$26.99,$30.68,$31.98,$11.23,$14.80,$17.96,$19.93
531,Arkansas,Miller County,$14.14,$28.59,$34.54,$43.13,$23.34,$28.17,$31.86,$33.52,$11.67,$15.71,$19.19,$21.65
534,Arkansas,Mississippi County,$12.76,$27.08,$32.59,$40.46,$22.36,$27.09,$30.79,$32.17,$11.18,$14.96,$18.22,$20.32
537,Arkansas,Monroe County,$13.04,$26.45,$31.45,$39.15,$22.47,$26.99,$30.68,$32.41,$11.23,$14.65,$17.65,$19.66
540,Arkansas,Montgomery County,$13.27,$26.93,$32.40,$40.66,$22.39,$26.99,$30.68,$32.49,$11.19,$14.88,$18.12,$20.42
543,Arkansas,Nevada County,$13.57,$27.59,$32.99,$40.84,$22.84,$27.73,$31.43,$32.91,$11.42,$15.22,$18.42,$20.51
546,Arkansas,Newton County,$13.04,$26.93,$32.40,$41.03,$22.27,$26.99,$30.68,$32.86,$11.14,$14.88,$18.12,$20.60
549,Arkansas,Ouachita County,$13.61,$26.93,$32.41,$40.64,$22.73,$26.99,$30.68,$32.46,$11.37,$14.89,$18.13,$20.41
