,State,County,Min_Wage
494,Arkansas,Izard County,$10.00
497,Arkansas,Jackson County,$10.00
500,Arkansas,Jefferson County,$10.00
503,Arkansas,Johnson County,$10.00
506,Arkansas,Lafayette County,$10.00
509,Arkansas,Lawrence County,$10.00
512,Arkansas,Lee County,$10.00
515,Arkansas,Lincoln County,$10.00
518,Arkansas,Little River County,$10.00
521,Arkansas,Logan County,$10.00
524,Arkansas,Lonoke County,$10.00
527,Arkansas,Madison County,$10.00
530,Arkansas,Marion County,$10.00
533,Arkansas,Miller County,$10.00
536,Arkansas,Mississippi County,$10.00
539,Arkansas,Monroe County,$10.00
542,Arkansas,Montgomery County,$10.00
545,Arkansas,Nevada County,$10.00
548,Arkansas,Newton County,$10.00
551,Arkansas,Ouachita County,$10.00
554,Arkansas,Perry County,$10.00
557,Arkansas,Phillips County,$10.00
560,Arkansas,Pike County,$10.00
563,Arkansas,Poinsett County,$10.00
566,Arkansas,Polk County,$10.00
569,Arkansas,Pope County,$10.00
572,Arkansas,Prairie County,$10.00
575,Arkansas,Pulaski County,$10.00
578,Arkansas,Randolph County,$10.00
581,Arkansas,Saline County,$10.00
584,Arkansas,Scott County,$10.00
587,Arkansas,Searcy County,$10.00
590,Arkansas,Sebastian County,$10.00
593,Arkansas,Sevier County,$10.00
596,Arkansas,Sharp County,$10.00
599,Arkansas,St. Francis County,$10.00
602,Arkansas,Stone County,$10.00
605,Arkansas,Union County,$10.00
608,Arkansas,Van Buren County,$10.00
611,Arkansas,Washington County,$10.00
614,Arkansas,White County,$10.00
617,Arkansas,Woodruff County,$10.00
620,Arkansas,Yell County,$10.00
623,Arkansas,"Fayetteville-Springdale-Rogers, AR",$10.00
626,Arkansas,"Fort Smith, AR",$10.00
629,Arkansas,"Hot Springs, AR",$10.00
632,Arkansas,"Jonesboro, AR",$10.00
635,Arkansas,"Little Rock-North Little Rock-Conway, AR",$10.00
638,Arkansas,"Pine Bluff, AR",$10.00
641,California,Alameda County,$12.00
644,California,Alpine County,$12.00
647,California,Amador County,$12.00
650,California,Butte County,$12.00
653,California,Calaveras County,$12.00
656,California,Colusa County,$12.00
659,California,Contra Costa County,$12.00
662,California,Del Norte County,$12.00
665,California,El Dorado County,$12.00
668,California,Fresno County,$12.00
671,California,Glenn County,$12.00
674,California,Humboldt County,$12.00
677,California,Imperial County,$12.00
680,California,Inyo County,$12.00
683,California,Kern County,$12.00
686,California,Kings County,$12.00
689,California,Lake County,$12.00
692,California,Lassen County,$12.00
695,California,Los Angeles County,$12.00
698,California,Madera County,$12.00
701,California,Marin County,$12.00
704,California,Mariposa County,$12.00
707,California,Mendocino County,$12.00
710,California,Merced County,$12.00
713,California,Modoc County,$12.00
716,California,Mono County,$12.00
719,California,Monterey County,$12.00
722,California,Napa County,$12.00
725,California,Nevada County,$12.00
728,California,Orange County,$12.00
731,California,Placer County,$12.00
734,California,Plumas County,$12.00
737,California,Riverside County,$12.00
740,California,Sacramento County,$12.00
743,California,San Benito County,$12.00
746,California,San Bernardino County,$12.00
749,California,San Diego County,$12.00
752,California,San Francisco County,$12.00
755,California,San Joaquin County,$12.00
758,California,San Luis Obispo County,$12.00
761,California,San Mateo County,$12.00
764,California,Santa Barbara County,$12.00
767,California,Santa Clara County,$12.00
770,California,Santa Cruz County,$12.00
773,California,Shasta County,$12.00
776,California,Sierra County,$12.00
779,California,Siskiyou County,$12.00
782,California,Solano County,$12.00
785,California,Sonoma County,$12.00
788,California,Stanislaus County,$12.00
791,California,Sutter County,$12.00
794,California,Tehama County,$12.00
797,California,Trinity County,$12.00
800,California,Tulare County,$12.00
803,California,Tuolumne County,$12.00
806,California,Ventura County,$12.00
809,California,Yolo County,$12.00
812,California,Yuba County,$12.00
815,California,"Bakersfield, CA",$12.00
818,California,"Chico, CA",$12.00
821,California,"El Centro, CA",$12.00
824,California,"Fresno, CA",$12.00
827,California,"Hanford-Corcoran, CA",$12.00
830,California,"Los Angeles-Long Beach-Anaheim, CA",$12.00
833,California,"Madera, CA",$12.00
836,California,"Merced, CA",$12.00
839,California,"Modesto, CA",$12.00
842,California,"Napa, CA",$12.00
845,California,"Oxnard-Thousand Oaks-Ventura, CA",$12.00
848,California,"Redding, CA",$12.00
851,California,"Riverside-San Bernardino-Ontario, CA",$12.00
854,California,"Sacramento--Roseville--Arden-Arcade, CA",$12.00
857,California,"Salinas, CA",$12.00
860,California,"San Diego-Carlsbad, CA",$12.00
863,California,"San Francisco-Oakland-Hayward, CA",$12.00
866,California,"San Jose-Sunnyvale-Santa Clara, CA",$12.00
869,California,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",$12.00
872,California,"Santa Cruz-Watsonville, CA",$12.00
875,California,"Santa Maria-Santa Barbara, CA",$12.00
878,California,"Santa Rosa, CA",$12.00
881,California,"Stockton-Lodi, CA",$12.00
884,California,"Vallejo-Fairfield, CA",$12.00
887,California,"Visalia-Porterville, CA",$12.00
890,California,"Yuba City, CA",$12.00
893,Colorado,Adams County,$12.00
896,Colorado,Alamosa County,$12.00
899,Colorado,Arapahoe County,$12.00
902,Colorado,Archuleta County,$12.00
905,Colorado,Baca County,$12.00
908,Colorado,Bent County,$12.00
911,Colorado,Boulder County,$12.00
914,Colorado,Broomfield County,$12.00
917,Colorado,Chaffee County,$12.00
920,Colorado,Cheyenne County,$12.00
923,Colorado,Clear Creek County,$12.00
926,Colorado,Conejos County,$12.00
929,Colorado,Costilla County,$12.00
932,Colorado,Crowley County,$12.00
935,Colorado,Custer County,$12.00
938,Colorado,Delta County,$12.00
941,Colorado,Denver County,$12.00
944,Colorado,Dolores County,$12.00
947,Colorado,Douglas County,$12.00
950,Colorado,Eagle County,$12.00
953,Colorado,Elbert County,$12.00
956,Colorado,El Paso County,$12.00
959,Colorado,Fremont County,$12.00
962,Colorado,Garfield County,$12.00
965,Colorado,Gilpin County,$12.00
968,Colorado,Grand County,$12.00
971,Colorado,Gunnison County,$12.00
974,Colorado,Hinsdale County,$12.00
977,Colorado,Huerfano County,$12.00
980,Colorado,Jackson County,$12.00
983,Colorado,Jefferson County,$12.00
986,Colorado,Kiowa County,$12.00
989,Colorado,Kit Carson County,$12.00
992,Colorado,Lake County,$12.00
995,Colorado,La Plata County,$12.00
998,Colorado,Larimer County,$12.00
1001,Colorado,Las Animas County,$12.00
1004,Colorado,Lincoln County,$12.00
1007,Colorado,Logan County,$12.00
1010,Colorado,Mesa County,$12.00
1013,Colorado,Mineral County,$12.00
1016,Colorado,Moffat County,$12.00
1019,Colorado,Montezuma County,$12.00
1022,Colorado,Montrose County,$12.00
1025,Colorado,Morgan County,$12.00
1028,Colorado,Otero County,$12.00
1031,Colorado,Ouray County,$12.00
1034,Colorado,Park County,$12.00
1037,Colorado,Phillips County,$12.00
1040,Colorado,Pitkin County,$12.00
1043,Colorado,Prowers County,$12.00
1046,Colorado,Pueblo County,$12.00
1049,Colorado,Rio Blanco County,$12.00
1052,Colorado,Rio Grande County,$12.00
1055,Colorado,Routt County,$12.00
1058,Colorado,Saguache County,$12.00
1061,Colorado,San Juan County,$12.00
1064,Colorado,San Miguel County,$12.00
1067,Colorado,Sedgwick County,$12.00
1070,Colorado,Summit County,$12.00
1073,Colorado,Teller County,$12.00
1076,Colorado,Washington County,$12.00
1079,Colorado,Weld County,$12.00
1082,Colorado,Yuma County,$12.00
1085,Colorado,"Boulder, CO",$12.00
1088,Colorado,"Colorado Springs, CO",$12.00
1091,Colorado,"Denver-Aurora-Lakewood, CO",$12.00
1094,Colorado,"Fort Collins, CO",$12.00
1097,Colorado,"Grand Junction, CO",$12.00
1100,Colorado,"Greeley, CO",$12.00
1103,Colorado,"Pueblo, CO",$12.00
1106,Connecticut,Fairfield County,$12.00
1109,Connecticut,Hartford County,$12.00
1112,Connecticut,Litchfield County,$12.00
1115,Connecticut,Middlesex County,$12.00
1118,Connecticut,New Haven County,$12.00
1121,Connecticut,New London County,$12.00
1124,Connecticut,Tolland County,$12.00
1127,Connecticut,Windham County,$12.00
1130,Connecticut,"Bridgeport-Stamford-Norwalk, CT",$12.00
1133,Connecticut,"Hartford-West Hartford-East Hartford, CT",$12.00
1136,Connecticut,"New Haven-Milford, CT",$12.00
1139,Connecticut,"Norwich-New London, CT",$12.00
1142,Delaware,Kent County,$9.25
1145,Delaware,New Castle County,$9.25
1148,Delaware,Sussex County,$9.25
1151,Delaware,"Dover, DE",$9.25
1154,District of Columbia,District of Columbia,$13.25
1157,District of Columbia,"Washington-Arlington-Alexandria, DC",$13.25
1160,Florida,Alachua County,$8.56
1163,Florida,Baker County,$8.56
1166,Florida,Bay County,$8.56
1169,Florida,Bradford County,$8.56
1172,Florida,Brevard County,$8.56
1175,Florida,Broward County,$8.56
1178,Florida,Calhoun County,$8.56
1181,Florida,Charlotte County,$8.56
1184,Florida,Citrus County,$8.56
1187,Florida,Clay County,$8.56
1190,Florida,Collier County,$8.56
1193,Florida,Columbia County,$8.56
1196,Florida,DeSoto County,$8.56
1199,Florida,Dixie County,$8.56
1202,Florida,Duval County,$8.56
1205,Florida,Escambia County,$8.56
1208,Florida,Flagler County,$8.56
1211,Florida,Franklin County,$8.56
1214,Florida,Gadsden County,$8.56
1217,Florida,Gilchrist County,$8.56
1220,Florida,Glades County,$8.56
1223,Florida,Gulf County,$8.56
1226,Florida,Hamilton County,$8.56
1229,Florida,Hardee County,$8.56
1232,Florida,Hendry County,$8.56
1235,Florida,Hernando County,$8.56
1238,Florida,Highlands County,$8.56
1241,Florida,Hillsborough County,$8.56
1244,Florida,Holmes County,$8.56
1247,Florida,Indian River County,$8.56
1250,Florida,Jackson County,$8.56
1253,Florida,Jefferson County,$8.56
1256,Florida,Lafayette County,$8.56
1259,Florida,Lake County,$8.56
1262,Florida,Lee County,$8.56
1265,Florida,Leon County,$8.56
1268,Florida,Levy County,$8.56
1271,Florida,Liberty County,$8.56
1274,Florida,Madison County,$8.56
1277,Florida,Manatee County,$8.56
1280,Florida,Marion County,$8.56
1283,Florida,Martin County,$8.56
1286,Florida,Miami-Dade County,$8.56
1289,Florida,Monroe County,$8.56
1292,Florida,Nassau County,$8.56
1295,Florida,Okaloosa County,$8.56
1298,Florida,Okeechobee County,$8.56
1301,Florida,Orange County,$8.56
1304,Florida,Osceola County,$8.56
1307,Florida,Palm Beach County,$8.56
1310,Florida,Pasco County,$8.56
1313,Florida,Pinellas County,$8.56
1316,Florida,Polk County,$8.56
1319,Florida,Putnam County,$8.56
1322,Florida,Santa Rosa County,$8.56
1325,Florida,Sarasota County,$8.56
1328,Florida,Seminole County,$8.56
1331,Florida,St. Johns County,$8.56
1334,Florida,St. Lucie County,$8.56
1337,Florida,Sumter County,$8.56
1340,Florida,Suwannee County,$8.56
1343,Florida,Taylor County,$8.56
1346,Florida,Union County,$8.56
1349,Florida,Volusia County,$8.56
1352,Florida,Wakulla County,$8.56
1355,Florida,Walton County,$8.56
1358,Florida,Washington County,$8.56
1361,Florida,"Cape Coral-Fort Myers, FL",$8.56
1364,Florida,"Crestview-Fort Walton Beach-Destin, FL",$8.56
1367,Florida,"Deltona-Daytona Beach-Ormond Beach, FL",$8.56
1370,Florida,"Gainesville, FL",$8.56
1373,Florida,"Homosassa Springs, FL",$8.56
1376,Florida,"Jacksonville, FL",$8.56
1379,Florida,"Lakeland-Winter Haven, FL",$8.56
1382,Florida,"Miami-Fort Lauderdale-West Palm Beach, FL",$8.56
1385,Florida,"Naples-Immokalee-Marco Island, FL",$8.56
1388,Florida,"North Port-Sarasota-Bradenton, FL",$8.56
1391,Florida,"Ocala, FL",$8.56
1394,Florida,"Orlando-Kissimmee-Sanford, FL",$8.56
1397,Florida,"Palm Bay-Melbourne-Titusville, FL",$8.56
1400,Florida,"Panama City, FL",$8.56
1403,Florida,"Pensacola-Ferry Pass-Brent, FL",$8.56
1406,Florida,"Port St. Lucie, FL",$8.56
1409,Florida,"Punta Gorda, FL",$8.56
1412,Florida,"Sebastian-Vero Beach, FL",$8.56
1415,Florida,"Sebring, FL",$8.56
1418,Florida,"Tallahassee, FL",$8.56
1421,Florida,"Tampa-St. Petersburg-Clearwater, FL",$8.56
1424,Florida,"The Villages, FL",$8.56
1427,Georgia,Appling County,$7.25
1430,Georgia,Atkinson County,$7.25
1433,Georgia,Bacon County,$7.25
1436,Georgia,Baker County,$7.25
1439,Georgia,Baldwin County,$7.25
1442,Georgia,Banks County,$7.25
1445,Georgia,Barrow County,$7.25
1448,Georgia,Bartow County,$7.25
1451,Georgia,Ben Hill County,$7.25
1454,Georgia,Berrien County,$7.25
1457,Georgia,Bibb County,$7.25
1460,Georgia,Bleckley County,$7.25
1463,Georgia,Brantley County,$7.25
1466,Georgia,Brooks County,$7.25
1469,Georgia,Bryan County,$7.25
1472,Georgia,Bulloch County,$7.25
1475,Georgia,Burke County,$7.25
1478,Georgia,Butts County,$7.25
1481,Georgia,Calhoun County,$7.25
1484,Georgia,Camden County,$7.25
1487,Georgia,Candler County,$7.25
1490,Georgia,Carroll County,$7.25
1493,Georgia,Catoosa County,$7.25
1496,Georgia,Charlton County,$7.25
1499,Georgia,Chatham County,$7.25
1502,Georgia,Chattahoochee County,$7.25
1505,Georgia,Chattooga County,$7.25
1508,Georgia,Cherokee County,$7.25
1511,Georgia,Clarke County,$7.25
1514,Georgia,Clay County,$7.25
1517,Georgia,Clayton County,$7.25
1520,Georgia,Clinch County,$7.25
1523,Georgia,Cobb County,$7.25
1526,Georgia,Coffee County,$7.25
1529,Georgia,Colquitt County,$7.25
1532,Georgia,Columbia County,$7.25
1535,Georgia,Cook County,$7.25
1538,Georgia,Coweta County,$7.25
1541,Georgia,Crawford County,$7.25
1544,Georgia,Crisp County,$7.25
1547,Georgia,Dade County,$7.25
1550,Georgia,Dawson County,$7.25
1553,Georgia,Decatur County,$7.25
1556,Georgia,DeKalb County,$7.25
1559,Georgia,Dodge County,$7.25
1562,Georgia,Dooly County,$7.25
1565,Georgia,Dougherty County,$7.25
1568,Georgia,Douglas County,$7.25
1571,Georgia,Early County,$7.25
1574,Georgia,Echols County,$7.25
1577,Georgia,Effingham County,$7.25
1580,Georgia,Elbert County,$7.25
1583,Georgia,Emanuel County,$7.25
1586,Georgia,Evans County,$7.25
1589,Georgia,Fannin County,$7.25
1592,Georgia,Fayette County,$7.25
1595,Georgia,Floyd County,$7.25
1598,Georgia,Forsyth County,$7.25
1601,Georgia,Franklin County,$7.25
1604,Georgia,Fulton County,$7.25
1607,Georgia,Gilmer County,$7.25
1610,Georgia,Glascock County,$7.25
1613,Georgia,Glynn County,$7.25
1616,Georgia,Gordon County,$7.25
1619,Georgia,Grady County,$7.25
1622,Georgia,Greene County,$7.25
1625,Georgia,Gwinnett County,$7.25
1628,Georgia,Habersham County,$7.25
1631,Georgia,Hall County,$7.25
1634,Georgia,Hancock County,$7.25
1637,Georgia,Haralson County,$7.25
1640,Georgia,Harris County,$7.25
1643,Georgia,Hart County,$7.25
1646,Georgia,Heard County,$7.25
1649,Georgia,Henry County,$7.25
1652,Georgia,Houston County,$7.25
1655,Georgia,Irwin County,$7.25
1658,Georgia,Jackson County,$7.25
1661,Georgia,Jasper County,$7.25
1664,Georgia,Jeff Davis County,$7.25
1667,Georgia,Jefferson County,$7.25
1670,Georgia,Jenkins County,$7.25
1673,Georgia,Johnson County,$7.25
1676,Georgia,Jones County,$7.25
1679,Georgia,Lamar County,$7.25
1682,Georgia,Lanier County,$7.25
1685,Georgia,Laurens County,$7.25
1688,Georgia,Lee County,$7.25
1691,Georgia,Liberty County,$7.25
1694,Georgia,Lincoln County,$7.25
1697,Georgia,Long County,$7.25
1700,Georgia,Lowndes County,$7.25
1703,Georgia,Lumpkin County,$7.25
1706,Georgia,Macon County,$7.25
1709,Georgia,Madison County,$7.25
1712,Georgia,Marion County,$7.25
1715,Georgia,McDuffie County,$7.25
1718,Georgia,McIntosh County,$7.25
1721,Georgia,Meriwether County,$7.25
1724,Georgia,Miller County,$7.25
1727,Georgia,Mitchell County,$7.25
1730,Georgia,Monroe County,$7.25
1733,Georgia,Montgomery County,$7.25
1736,Georgia,Morgan County,$7.25
1739,Georgia,Murray County,$7.25
1742,Georgia,Muscogee County,$7.25
1745,Georgia,Newton County,$7.25
1748,Georgia,Oconee County,$7.25
1751,Georgia,Oglethorpe County,$7.25
1754,Georgia,Paulding County,$7.25
1757,Georgia,Peach County,$7.25
1760,Georgia,Pickens County,$7.25
1763,Georgia,Pierce County,$7.25
1766,Georgia,Pike County,$7.25
1769,Georgia,Polk County,$7.25
1772,Georgia,Pulaski County,$7.25
1775,Georgia,Putnam County,$7.25
1778,Georgia,Quitman County,$7.25
1781,Georgia,Rabun County,$7.25
1784,Georgia,Randolph County,$7.25
1787,Georgia,Richmond County,$7.25
1790,Georgia,Rockdale County,$7.25
1793,Georgia,Schley County,$7.25
1796,Georgia,Screven County,$7.25
1799,Georgia,Seminole County,$7.25
1802,Georgia,Spalding County,$7.25
1805,Georgia,Stephens County,$7.25
1808,Georgia,Stewart County,$7.25
1811,Georgia,Sumter County,$7.25
1814,Georgia,Talbot County,$7.25
1817,Georgia,Taliaferro County,$7.25
1820,Georgia,Tattnall County,$7.25
1823,Georgia,Taylor County,$7.25
1826,Georgia,Telfair County,$7.25
1829,Georgia,Terrell County,$7.25
1832,Georgia,Thomas County,$7.25
1835,Georgia,Tift County,$7.25
1838,Georgia,Toombs County,$7.25
1841,Georgia,Towns County,$7.25
1844,Georgia,Treutlen County,$7.25
1847,Georgia,Troup County,$7.25
1850,Georgia,Turner County,$7.25
1853,Georgia,Twiggs County,$7.25
1856,Georgia,Union County,$7.25
1859,Georgia,Upson County,$7.25
1862,Georgia,Walker County,$7.25
1865,Georgia,Walton County,$7.25
1868,Georgia,Ware County,$7.25
1871,Georgia,Warren County,$7.25
1874,Georgia,Washington County,$7.25
1877,Georgia,Wayne County,$7.25
1880,Georgia,Webster County,$7.25
1883,Georgia,Wheeler County,$7.25
1886,Georgia,White County,$7.25
1889,Georgia,Whitfield County,$7.25
1892,Georgia,Wilcox County,$7.25
1895,Georgia,Wilkes County,$7.25
1898,Georgia,Wilkinson County,$7.25
1901,Georgia,Worth County,$7.25
1904,Georgia,"Albany, GA",$7.25
1907,Georgia,"Athens-Clarke County, GA",$7.25
1910,Georgia,"Atlanta-Sandy Springs-Roswell, GA",$7.25
1913,Georgia,"Augusta-Richmond County, GA",$7.25
1916,Georgia,"Brunswick, GA",$7.25
1919,Georgia,"Columbus, GA",$7.25
1922,Georgia,"Dalton, GA",$7.25
1925,Georgia,"Gainesville, GA",$7.25
1928,Georgia,"Hinesville, GA",$7.25
1931,Georgia,"Macon-Bibb County, GA",$7.25
1934,Georgia,"Rome, GA",$7.25
1937,Georgia,"Savannah, GA",$7.25
1940,Georgia,"Valdosta, GA",$7.25
1943,Georgia,"Warner Robins, GA",$7.25
1946,Hawaii,Hawaii County,$10.10
1949,Hawaii,Honolulu County,$10.10
1952,Hawaii,Kalawao County,$10.10
1955,Hawaii,Kauai County,$10.10
1958,Hawaii,Maui County,$10.10
1961,Hawaii,"Kahului-Wailuku-Lahaina, HI",$10.10
1964,Hawaii,"Urban Honolulu, HI",$10.10
1967,Idaho,Ada County,$7.25
1970,Idaho,Adams County,$7.25
1973,Idaho,Bannock County,$7.25
1976,Idaho,Bear Lake County,$7.25
1979,Idaho,Benewah County,$7.25
1982,Idaho,Bingham County,$7.25
1985,Idaho,Blaine County,$7.25
1988,Idaho,Boise County,$7.25
1991,Idaho,Bonner County,$7.25
1994,Idaho,Bonneville County,$7.25
1997,Idaho,Boundary County,$7.25
2000,Idaho,Butte County,$7.25
2003,Idaho,Camas County,$7.25
2006,Idaho,Canyon County,$7.25
2009,Idaho,Caribou County,$7.25
2012,Idaho,Cassia County,$7.25
2015,Idaho,Clark County,$7.25
2018,Idaho,Clearwater County,$7.25
2021,Idaho,Custer County,$7.25
2024,Idaho,Elmore County,$7.25
2027,Idaho,Franklin County,$7.25
2030,Idaho,Fremont County,$7.25
2033,Idaho,Gem County,$7.25
2036,Idaho,Gooding County,$7.25
2039,Idaho,Idaho County,$7.25
2042,Idaho,Jefferson County,$7.25
2045,Idaho,Jerome County,$7.25
2048,Idaho,Kootenai County,$7.25
2051,Idaho,Latah County,$7.25
2054,Idaho,Lemhi County,$7.25
2057,Idaho,Lewis County,$7.25
2060,Idaho,Lincoln County,$7.25
2063,Idaho,Madison County,$7.25
2066,Idaho,Minidoka County,$7.25
2069,Idaho,Nez Perce County,$7.25
2072,Idaho,Oneida County,$7.25
2075,Idaho,Owyhee County,$7.25
2078,Idaho,Payette County,$7.25
2081,Idaho,Power County,$7.25
2084,Idaho,Shoshone County,$7.25
2087,Idaho,Teton County,$7.25
2090,Idaho,Twin Falls County,$7.25
2093,Idaho,Valley County,$7.25
2096,Idaho,Washington County,$7.25
2099,Idaho,"Boise City, ID",$7.25
2102,Idaho,"Coeur d'Alene, ID",$7.25
2105,Idaho,"Idaho Falls, ID",$7.25
2108,Idaho,"Lewiston, ID",$7.25
2111,Idaho,"Pocatello, ID",$7.25
2114,Idaho,"Twin Falls, ID",$7.25
2117,Illinois,Adams County,$10.00
2120,Illinois,Alexander County,$10.00
2123,Illinois,Bond County,$10.00
