,Unnamed: 0_level_0,1 ADULT,1 ADULT,1 ADULT,1 ADULT,2 ADULTS(1 WORKING),2 ADULTS(1 WORKING),2 ADULTS(1 WORKING),2 ADULTS(1 WORKING),2 ADULTS(BOTH WORKING),2 ADULTS(BOTH WORKING),2 ADULTS(BOTH WORKING),2 ADULTS(BOTH WORKING),State,County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Clarke County
0,Living Wage,$12.87,$25.12,$30.50,$38.92,$21.44,$25.13,$28.74,$30.83,$10.72,$13.95,$17.13,$19.55,Alabama,Clay County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Clay County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Clay County
0,Living Wage,$12.72,$25.12,$30.50,$38.79,$20.92,$25.13,$28.74,$30.69,$10.46,$13.95,$17.13,$19.48,Alabama,Cleburne County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Cleburne County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Cleburne County
0,Living Wage,$13.10,$25.50,$30.88,$39.47,$21.46,$25.51,$29.12,$31.37,$10.73,$14.13,$17.31,$19.82,Alabama,Coffee County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Coffee County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Coffee County
0,Living Wage,$12.98,$26.92,$33.37,$42.36,$21.63,$25.86,$29.46,$31.05,$10.82,$14.84,$18.56,$21.26,Alabama,Colbert County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Colbert County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Colbert County
0,Living Wage,$12.81,$25.91,$32.09,$41.25,$21.24,$25.13,$28.74,$30.77,$10.62,$14.34,$17.92,$20.71,Alabama,Conecuh County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Conecuh County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Conecuh County
0,Living Wage,$12.99,$25.48,$30.86,$38.52,$21.19,$25.49,$29.09,$30.42,$10.60,$14.12,$17.30,$19.35,Alabama,Coosa County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Coosa County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Coosa County
0,Living Wage,$12.81,$25.82,$31.90,$40.56,$21.09,$25.13,$28.74,$30.37,$10.55,$14.29,$17.82,$20.37,Alabama,Covington County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Covington County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Covington County
0,Living Wage,$12.72,$25.12,$30.50,$38.08,$20.92,$25.13,$28.74,$29.98,$10.46,$13.95,$17.13,$19.13,Alabama,Crenshaw County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Crenshaw County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Crenshaw County
0,Living Wage,$12.77,$26.43,$32.88,$42.06,$21.35,$25.37,$28.97,$30.75,$10.67,$14.60,$18.31,$21.12,Alabama,Cullman County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Cullman County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Cullman County
0,Living Wage,$12.98,$25.12,$30.50,$38.55,$21.18,$25.13,$28.74,$30.45,$10.59,$13.95,$17.13,$19.36,Alabama,Dale County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Dale County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Dale County
0,Living Wage,$12.92,$25.86,$31.94,$40.31,$21.19,$25.18,$28.78,$30.12,$10.60,$14.32,$17.85,$20.24,Alabama,Dallas County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Dallas County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Dallas County
0,Living Wage,$12.72,$24.86,$29.98,$37.69,$20.92,$25.13,$28.74,$30.37,$10.46,$13.82,$16.87,$18.93,Alabama,DeKalb County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,DeKalb County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,DeKalb County
0,Living Wage,$13.58,$27.37,$33.45,$42.19,$22.61,$26.69,$30.29,$32.00,$11.30,$15.07,$18.60,$21.18,Alabama,Elmore County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Elmore County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Elmore County
0,Living Wage,$12.81,$25.91,$32.09,$40.83,$21.44,$25.13,$28.74,$30.35,$10.72,$14.34,$17.92,$20.50,Alabama,Escambia County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Escambia County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Escambia County
0,Living Wage,$13.16,$25.44,$30.56,$38.11,$21.36,$25.71,$29.31,$30.79,$10.68,$14.10,$17.15,$19.14,Alabama,Etowah County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Etowah County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Etowah County
0,Living Wage,$12.81,$25.54,$31.34,$39.53,$21.44,$25.13,$28.74,$30.16,$10.72,$14.16,$17.55,$19.85,Alabama,Fayette County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Fayette County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Fayette County
0,Living Wage,$12.81,$26.19,$32.64,$41.37,$21.34,$25.13,$28.74,$30.06,$10.67,$14.48,$18.20,$20.77,Alabama,Franklin County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Franklin County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Franklin County
0,Living Wage,$13.02,$25.50,$30.89,$38.87,$21.21,$25.52,$29.12,$30.78,$10.61,$14.14,$17.32,$19.52,Alabama,Geneva County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Geneva County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Geneva County
0,Living Wage,$12.81,$25.54,$31.34,$39.71,$21.44,$25.13,$28.74,$30.35,$10.72,$14.16,$17.55,$19.94,Alabama,Greene County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Greene County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Greene County
0,Living Wage,$14.55,$27.48,$33.29,$41.96,$22.86,$27.08,$30.68,$32.60,$11.43,$15.13,$18.52,$21.07,Alabama,Hale County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Hale County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Hale County
0,Living Wage,$12.84,$25.12,$30.50,$38.45,$21.31,$25.13,$28.74,$30.35,$10.66,$13.95,$17.13,$19.31,Alabama,Henry County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Henry County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Henry County
0,Living Wage,$13.02,$25.50,$30.89,$38.87,$21.21,$25.52,$29.12,$30.78,$10.61,$14.14,$17.32,$19.52,Alabama,Houston County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Houston County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Houston County
0,Living Wage,$12.44,$25.11,$30.23,$37.61,$21.53,$25.38,$28.99,$30.29,$10.76,$13.94,$16.99,$18.89,Alabama,Jackson County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Jackson County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Jackson County
0,Living Wage,$15.16,$28.54,$34.69,$44.12,$23.74,$27.80,$31.40,$33.74,$11.87,$15.66,$19.22,$22.15,Alabama,Jefferson County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Jefferson County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Jefferson County
0,Living Wage,$12.81,$25.54,$31.34,$40.14,$21.44,$25.13,$28.74,$30.78,$10.72,$14.16,$17.55,$20.16,Alabama,Lamar County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Lamar County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Lamar County
0,Living Wage,$12.98,$26.92,$33.37,$42.36,$21.63,$25.86,$29.46,$31.05,$10.82,$14.84,$18.56,$21.26,Alabama,Lauderdale County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Lauderdale County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Lauderdale County
0,Living Wage,$12.85,$26.72,$33.18,$42.19,$21.50,$25.67,$29.27,$30.88,$10.75,$14.75,$18.46,$21.18,Alabama,Lawrence County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Lawrence County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Lawrence County
0,Living Wage,$13.45,$27.54,$33.93,$43.25,$22.05,$26.55,$30.15,$32.14,$11.02,$15.16,$18.84,$21.71,Alabama,Lee County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Lee County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Lee County
0,Living Wage,$13.47,$27.40,$33.85,$43.26,$22.31,$26.34,$29.95,$31.95,$11.16,$15.09,$18.80,$21.72,Alabama,Limestone County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Limestone County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Limestone County
0,Living Wage,$13.58,$27.37,$33.45,$42.19,$22.61,$26.69,$30.29,$32.00,$11.30,$15.07,$18.60,$21.18,Alabama,Lowndes County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Lowndes County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Lowndes County
0,Living Wage,$12.85,$26.30,$32.69,$41.32,$21.06,$25.31,$28.92,$30.20,$10.53,$14.54,$18.22,$20.74,Alabama,Macon County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Macon County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Macon County
0,Living Wage,$13.47,$27.40,$33.85,$43.26,$22.31,$26.34,$29.95,$31.95,$11.16,$15.09,$18.80,$21.72,Alabama,Madison County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Madison County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Madison County
0,Living Wage,$12.81,$25.54,$31.34,$40.20,$21.44,$25.13,$28.74,$30.83,$10.72,$14.16,$17.55,$20.19,Alabama,Marengo County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Marengo County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Marengo County
0,Living Wage,$12.72,$25.54,$31.34,$39.75,$20.92,$25.13,$28.74,$30.39,$10.46,$14.16,$17.55,$19.96,Alabama,Marion County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Marion County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Marion County
0,Living Wage,$12.84,$25.01,$30.13,$37.95,$21.04,$25.28,$28.89,$30.63,$10.52,$13.89,$16.94,$19.06,Alabama,Marshall County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Marshall County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Marshall County
0,Living Wage,$14.37,$27.78,$33.96,$43.30,$22.59,$27.00,$30.60,$32.81,$11.29,$15.28,$18.85,$21.73,Alabama,Mobile County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Mobile County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Mobile County
0,Living Wage,$12.81,$25.91,$32.09,$40.46,$21.44,$25.13,$28.74,$29.98,$10.72,$14.34,$17.92,$20.32,Alabama,Monroe County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Monroe County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Monroe County
0,Living Wage,$13.58,$27.37,$33.45,$42.19,$22.61,$26.69,$30.29,$32.00,$11.30,$15.07,$18.60,$21.18,Alabama,Montgomery County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Montgomery County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Montgomery County
0,Living Wage,$12.85,$26.72,$33.18,$42.19,$21.50,$25.67,$29.27,$30.88,$10.75,$14.75,$18.46,$21.18,Alabama,Morgan County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Morgan County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Morgan County
0,Living Wage,$13.15,$25.54,$31.34,$39.45,$21.44,$25.13,$28.74,$30.09,$10.72,$14.16,$17.55,$19.81,Alabama,Perry County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Perry County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Perry County
0,Living Wage,$12.89,$25.54,$31.34,$39.79,$21.09,$25.13,$28.74,$30.43,$10.55,$14.16,$17.55,$19.98,Alabama,Pickens County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Pickens County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Pickens County
0,Living Wage,$12.67,$25.19,$30.57,$38.65,$21.50,$25.21,$28.81,$30.55,$10.75,$13.98,$17.16,$19.41,Alabama,Pike County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Pike County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Pike County
0,Living Wage,$12.81,$25.12,$30.50,$38.61,$21.43,$25.13,$28.74,$30.51,$10.72,$13.95,$17.13,$19.39,Alabama,Randolph County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Randolph County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Randolph County
0,Living Wage,$13.66,$27.39,$33.78,$43.22,$22.38,$26.40,$30.01,$32.11,$11.19,$15.08,$18.77,$21.70,Alabama,Russell County
