Class,Level,_1a0c,_1a1c,_1a2c,_1a3c,_2a1w0c,_2a1w1c,_2a1w2c,_2a1w3c,_2a2w0c,_2a2w1c,_2a2w2c,_2a2w3c,County,State,FIPS
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Blount County,AL,1009
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Blount County,AL,1009
0,Living Wage,$12.81,$25.82,$31.90,$40.50,$21.06,$25.13,$28.74,$30.31,$10.53,$14.29,$17.82,$20.34,Bullock County,AL,1011
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Bullock County,AL,1011
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Bullock County,AL,1011
0,Living Wage,$12.81,$25.82,$31.90,$40.30,$21.32,$25.13,$28.74,$30.11,$10.66,$14.29,$17.82,$20.24,Butler County,AL,1013
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Butler County,AL,1013
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Butler County,AL,1013
0,Living Wage,$12.77,$25.75,$31.13,$39.12,$21.39,$25.76,$29.36,$31.03,$10.70,$14.26,$17.44,$19.65,Calhoun County,AL,1015
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Calhoun County,AL,1015
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Calhoun County,AL,1015
0,Living Wage,$12.89,$26.63,$33.02,$41.98,$21.83,$25.64,$29.24,$30.86,$10.92,$14.70,$18.38,$21.08,Chambers County,AL,1017
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Chambers County,AL,1017
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Chambers County,AL,1017
0,Living Wage,$12.72,$24.86,$29.98,$37.75,$20.92,$25.13,$28.74,$30.43,$10.46,$13.82,$16.87,$18.96,Cherokee County,AL,1019
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Cherokee County,AL,1019
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Cherokee County,AL,1019
0,Living Wage,$13.66,$26.54,$32.62,$42.07,$22.08,$25.86,$29.46,$31.88,$11.04,$14.66,$18.19,$21.12,Chilton County,AL,1021
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Chilton County,AL,1021
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Chilton County,AL,1021
0,Living Wage,$12.75,$25.58,$31.39,$39.39,$20.95,$25.18,$28.78,$30.03,$10.48,$14.18,$17.57,$19.78,Choctaw County,AL,1023
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Choctaw County,AL,1023
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Choctaw County,AL,1023
0,Living Wage,$12.81,$25.91,$32.09,$41.32,$21.22,$25.13,$28.74,$30.83,$10.61,$14.34,$17.92,$20.74,Clarke County,AL,1025
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Clarke County,AL,1025
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Clarke County,AL,1025
0,Living Wage,$12.87,$25.12,$30.50,$38.92,$21.44,$25.13,$28.74,$30.83,$10.72,$13.95,$17.13,$19.55,Clay County,AL,1027
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Clay County,AL,1027
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Clay County,AL,1027
0,Living Wage,$12.72,$25.12,$30.50,$38.79,$20.92,$25.13,$28.74,$30.69,$10.46,$13.95,$17.13,$19.48,Cleburne County,AL,1029
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Cleburne County,AL,1029
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Cleburne County,AL,1029
0,Living Wage,$13.10,$25.50,$30.88,$39.47,$21.46,$25.51,$29.12,$31.37,$10.73,$14.13,$17.31,$19.82,Coffee County,AL,1031
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Coffee County,AL,1031
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Coffee County,AL,1031
0,Living Wage,$12.98,$26.92,$33.37,$42.36,$21.63,$25.86,$29.46,$31.05,$10.82,$14.84,$18.56,$21.26,Colbert County,AL,1033
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Colbert County,AL,1033
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Colbert County,AL,1033
0,Living Wage,$12.81,$25.91,$32.09,$41.25,$21.24,$25.13,$28.74,$30.77,$10.62,$14.34,$17.92,$20.71,Conecuh County,AL,1035
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Conecuh County,AL,1035
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Conecuh County,AL,1035
0,Living Wage,$12.99,$25.48,$30.86,$38.52,$21.19,$25.49,$29.09,$30.42,$10.60,$14.12,$17.30,$19.35,Coosa County,AL,1037
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Coosa County,AL,1037
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Coosa County,AL,1037
0,Living Wage,$12.81,$25.82,$31.90,$40.56,$21.09,$25.13,$28.74,$30.37,$10.55,$14.29,$17.82,$20.37,Covington County,AL,1039
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Covington County,AL,1039
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Covington County,AL,1039
0,Living Wage,$12.72,$25.12,$30.50,$38.08,$20.92,$25.13,$28.74,$29.98,$10.46,$13.95,$17.13,$19.13,Crenshaw County,AL,1041
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Crenshaw County,AL,1041
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Crenshaw County,AL,1041
0,Living Wage,$12.77,$26.43,$32.88,$42.06,$21.35,$25.37,$28.97,$30.75,$10.67,$14.60,$18.31,$21.12,Cullman County,AL,1043
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Cullman County,AL,1043
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Cullman County,AL,1043
0,Living Wage,$12.98,$25.12,$30.50,$38.55,$21.18,$25.13,$28.74,$30.45,$10.59,$13.95,$17.13,$19.36,Dale County,AL,1065
0,Living Wage,$12.98,$25.12,$30.50,$38.55,$21.18,$25.13,$28.74,$30.45,$10.59,$13.95,$17.13,$19.36,Dale County,AL,1045
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Dale County,AL,1065
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Dale County,AL,1045
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Dale County,AL,1065
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Dale County,AL,1045
0,Living Wage,$12.92,$25.86,$31.94,$40.31,$21.19,$25.18,$28.78,$30.12,$10.60,$14.32,$17.85,$20.24,Dallas County,AL,1047
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Dallas County,AL,1047
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Dallas County,AL,1047
0,Living Wage,$12.72,$24.86,$29.98,$37.69,$20.92,$25.13,$28.74,$30.37,$10.46,$13.82,$16.87,$18.93,DeKalb County,AL,1049
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,DeKalb County,AL,1049
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,DeKalb County,AL,1049
0,Living Wage,$13.58,$27.37,$33.45,$42.19,$22.61,$26.69,$30.29,$32.00,$11.30,$15.07,$18.60,$21.18,Elmore County,AL,1051
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Elmore County,AL,1051
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Elmore County,AL,1051
0,Living Wage,$12.81,$25.91,$32.09,$40.83,$21.44,$25.13,$28.74,$30.35,$10.72,$14.34,$17.92,$20.50,Escambia County,AL,1053
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Escambia County,AL,1053
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Escambia County,AL,1053
0,Living Wage,$13.16,$25.44,$30.56,$38.11,$21.36,$25.71,$29.31,$30.79,$10.68,$14.10,$17.15,$19.14,Etowah County,AL,1055
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Etowah County,AL,1055
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Etowah County,AL,1055
0,Living Wage,$12.81,$25.54,$31.34,$39.53,$21.44,$25.13,$28.74,$30.16,$10.72,$14.16,$17.55,$19.85,Fayette County,AL,1057
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Fayette County,AL,1057
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Fayette County,AL,1057
0,Living Wage,$12.81,$26.19,$32.64,$41.37,$21.34,$25.13,$28.74,$30.06,$10.67,$14.48,$18.20,$20.77,Franklin County,AL,1059
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Franklin County,AL,1059
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Franklin County,AL,1059
0,Living Wage,$13.02,$25.50,$30.89,$38.87,$21.21,$25.52,$29.12,$30.78,$10.61,$14.14,$17.32,$19.52,Geneva County,AL,1061
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Geneva County,AL,1061
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Geneva County,AL,1061
0,Living Wage,$12.81,$25.54,$31.34,$39.71,$21.44,$25.13,$28.74,$30.35,$10.72,$14.16,$17.55,$19.94,Greene County,AL,1063
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Greene County,AL,1063
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Greene County,AL,1063
0,Living Wage,$14.55,$27.48,$33.29,$41.96,$22.86,$27.08,$30.68,$32.60,$11.43,$15.13,$18.52,$21.07,Hale County,AL,1065
0,Living Wage,$14.55,$27.48,$33.29,$41.96,$22.86,$27.08,$30.68,$32.60,$11.43,$15.13,$18.52,$21.07,Hale County,AL,1045
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Hale County,AL,1065
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Hale County,AL,1045
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Hale County,AL,1065
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Hale County,AL,1045
0,Living Wage,$12.84,$25.12,$30.50,$38.45,$21.31,$25.13,$28.74,$30.35,$10.66,$13.95,$17.13,$19.31,Henry County,AL,1067
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Henry County,AL,1067
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Henry County,AL,1067
0,Living Wage,$13.02,$25.50,$30.89,$38.87,$21.21,$25.52,$29.12,$30.78,$10.61,$14.14,$17.32,$19.52,Houston County,AL,1069
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Houston County,AL,1069
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Houston County,AL,1069
0,Living Wage,$12.44,$25.11,$30.23,$37.61,$21.53,$25.38,$28.99,$30.29,$10.76,$13.94,$16.99,$18.89,Jackson County,AL,1071
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Jackson County,AL,1071
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Jackson County,AL,1071
0,Living Wage,$15.16,$28.54,$34.69,$44.12,$23.74,$27.80,$31.40,$33.74,$11.87,$15.66,$19.22,$22.15,Jefferson County,AL,1073
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Jefferson County,AL,1073
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Jefferson County,AL,1073
0,Living Wage,$12.81,$25.54,$31.34,$40.14,$21.44,$25.13,$28.74,$30.78,$10.72,$14.16,$17.55,$20.16,Lamar County,AL,1075
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Lamar County,AL,1075
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Lamar County,AL,1075
0,Living Wage,$12.98,$26.92,$33.37,$42.36,$21.63,$25.86,$29.46,$31.05,$10.82,$14.84,$18.56,$21.26,Lauderdale County,AL,1077
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Lauderdale County,AL,1077
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Lauderdale County,AL,1077
0,Living Wage,$12.85,$26.72,$33.18,$42.19,$21.50,$25.67,$29.27,$30.88,$10.75,$14.75,$18.46,$21.18,Lawrence County,AL,1079
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Lawrence County,AL,1079
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Lawrence County,AL,1079
0,Living Wage,$13.45,$27.54,$33.93,$43.25,$22.05,$26.55,$30.15,$32.14,$11.02,$15.16,$18.84,$21.71,Lee County,AL,1081
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Lee County,AL,1081
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Lee County,AL,1081
0,Living Wage,$13.47,$27.40,$33.85,$43.26,$22.31,$26.34,$29.95,$31.95,$11.16,$15.09,$18.80,$21.72,Limestone County,AL,1083
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Limestone County,AL,1083
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Limestone County,AL,1083
0,Living Wage,$13.58,$27.37,$33.45,$42.19,$22.61,$26.69,$30.29,$32.00,$11.30,$15.07,$18.60,$21.18,Lowndes County,AL,1085
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Lowndes County,AL,1085
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Lowndes County,AL,1085
0,Living Wage,$12.85,$26.30,$32.69,$41.32,$21.06,$25.31,$28.92,$30.20,$10.53,$14.54,$18.22,$20.74,Macon County,AL,1087
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Macon County,AL,1087
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Macon County,AL,1087
0,Living Wage,$13.47,$27.40,$33.85,$43.26,$22.31,$26.34,$29.95,$31.95,$11.16,$15.09,$18.80,$21.72,Madison County,AL,1093
0,Living Wage,$13.47,$27.40,$33.85,$43.26,$22.31,$26.34,$29.95,$31.95,$11.16,$15.09,$18.80,$21.72,Madison County,AL,1089
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Madison County,AL,1093
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Madison County,AL,1089
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Madison County,AL,1093
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Madison County,AL,1089
0,Living Wage,$12.81,$25.54,$31.34,$40.20,$21.44,$25.13,$28.74,$30.83,$10.72,$14.16,$17.55,$20.19,Marengo County,AL,1091
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Marengo County,AL,1091
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Marengo County,AL,1091
0,Living Wage,$12.72,$25.54,$31.34,$39.75,$20.92,$25.13,$28.74,$30.39,$10.46,$14.16,$17.55,$19.96,Marion County,AL,1093
0,Living Wage,$12.72,$25.54,$31.34,$39.75,$20.92,$25.13,$28.74,$30.39,$10.46,$14.16,$17.55,$19.96,Marion County,AL,1089
0,Living Wage,$12.72,$25.54,$31.34,$39.75,$20.92,$25.13,$28.74,$30.39,$10.46,$14.16,$17.55,$19.96,Marion County,AL,1087
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Marion County,AL,1093
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Marion County,AL,1089
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Marion County,AL,1087
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Marion County,AL,1093
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Marion County,AL,1089
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Marion County,AL,1087
0,Living Wage,$12.84,$25.01,$30.13,$37.95,$21.04,$25.28,$28.89,$30.63,$10.52,$13.89,$16.94,$19.06,Marshall County,AL,1095
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Marshall County,AL,1095
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Marshall County,AL,1095
0,Living Wage,$14.37,$27.78,$33.96,$43.30,$22.59,$27.00,$30.60,$32.81,$11.29,$15.28,$18.85,$21.73,Mobile County,AL,1097
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Mobile County,AL,1097
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Mobile County,AL,1097
0,Living Wage,$12.81,$25.91,$32.09,$40.46,$21.44,$25.13,$28.74,$29.98,$10.72,$14.34,$17.92,$20.32,Monroe County,AL,1099
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Monroe County,AL,1099
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Monroe County,AL,1099
0,Living Wage,$13.58,$27.37,$33.45,$42.19,$22.61,$26.69,$30.29,$32.00,$11.30,$15.07,$18.60,$21.18,Montgomery County,AL,1101
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Montgomery County,AL,1101
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Montgomery County,AL,1101
0,Living Wage,$12.85,$26.72,$33.18,$42.19,$21.50,$25.67,$29.27,$30.88,$10.75,$14.75,$18.46,$21.18,Morgan County,AL,1103
