County,State,FIPS,pov 1a0c,pov 1a1c,pov 1a2c,pov 1a3c,pov 2a1w0c,pov 2a1w1c,pov 2a1w2c,pov 2a1w3c,pov 2a2w0c,pov 2a2w1c,pov 2a2w2c,pov 2a2w3c,live 1a0c,live 1a1c,live 1a2c,live 1a3c,live 2a1w0c,live 2a1w1c,live 2a1w2c,live 2a1w3c,live 2a2w0c,live 2a2w1c,live 2a2w2c,live 2a2w3c,min 1a0c,min 1a1c,min 1a2c,min 1a3c,min 2a1w0c,min 2a1w1c,min 2a1w2c,min 2a1w3c,min 2a2w0c,min 2a2w1c,min 2a2w2c,min 2a2w3c
Chilton County,AL,1021,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.66 ,$26.54 ,$32.62 ,$42.07 ,$22.08 ,$25.86 ,$29.46 ,$31.88 ,$11.04 ,$14.66 ,$18.19 ,$21.12 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Choctaw County,AL,1023,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$12.75 ,$25.58 ,$31.39 ,$39.39 ,$20.95 ,$25.18 ,$28.78 ,$30.03 ,$10.48 ,$14.18 ,$17.57 ,$19.78 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Clarke County,AL,1025,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$12.81 ,$25.91 ,$32.09 ,$41.32 ,$21.22 ,$25.13 ,$28.74 ,$30.83 ,$10.61 ,$14.34 ,$17.92 ,$20.74 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Clay County,AL,1027,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$12.87 ,$25.12 ,$30.50 ,$38.92 ,$21.44 ,$25.13 ,$28.74 ,$30.83 ,$10.72 ,$13.95 ,$17.13 ,$19.55 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Cleburne County,AL,1029,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$12.72 ,$25.12 ,$30.50 ,$38.79 ,$20.92 ,$25.13 ,$28.74 ,$30.69 ,$10.46 ,$13.95 ,$17.13 ,$19.48 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Coffee County,AL,1031,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.10 ,$25.50 ,$30.88 ,$39.47 ,$21.46 ,$25.51 ,$29.12 ,$31.37 ,$10.73 ,$14.13 ,$17.31 ,$19.82 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Colbert County,AL,1033,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$12.98 ,$26.92 ,$33.37 ,$42.36 ,$21.63 ,$25.86 ,$29.46 ,$31.05 ,$10.82 ,$14.84 ,$18.56 ,$21.26 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Conecuh County,AL,1035,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$12.81 ,$25.91 ,$32.09 ,$41.25 ,$21.24 ,$25.13 ,$28.74 ,$30.77 ,$10.62 ,$14.34 ,$17.92 ,$20.71 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Coosa County,AL,1037,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$12.99 ,$25.48 ,$30.86 ,$38.52 ,$21.19 ,$25.49 ,$29.09 ,$30.42 ,$10.60 ,$14.12 ,$17.30 ,$19.35 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Covington County,AL,1039,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$12.81 ,$25.82 ,$31.90 ,$40.56 ,$21.09 ,$25.13 ,$28.74 ,$30.37 ,$10.55 ,$14.29 ,$17.82 ,$20.37 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Crenshaw County,AL,1041,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$12.72 ,$25.12 ,$30.50 ,$38.08 ,$20.92 ,$25.13 ,$28.74 ,$29.98 ,$10.46 ,$13.95 ,$17.13 ,$19.13 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Cullman County,AL,1043,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$12.77 ,$26.43 ,$32.88 ,$42.06 ,$21.35 ,$25.37 ,$28.97 ,$30.75 ,$10.67 ,$14.60 ,$18.31 ,$21.12 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Dale County,AL,1065,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$12.98 ,$25.12 ,$30.50 ,$38.55 ,$21.18 ,$25.13 ,$28.74 ,$30.45 ,$10.59 ,$13.95 ,$17.13 ,$19.36 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Dale County,AL,1045,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$12.98 ,$25.12 ,$30.50 ,$38.55 ,$21.18 ,$25.13 ,$28.74 ,$30.45 ,$10.59 ,$13.95 ,$17.13 ,$19.36 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Dallas County,AL,1047,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$12.92 ,$25.86 ,$31.94 ,$40.31 ,$21.19 ,$25.18 ,$28.78 ,$30.12 ,$10.60 ,$14.32 ,$17.85 ,$20.24 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
DeKalb County,AL,1049,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$12.72 ,$24.86 ,$29.98 ,$37.69 ,$20.92 ,$25.13 ,$28.74 ,$30.37 ,$10.46 ,$13.82 ,$16.87 ,$18.93 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Elmore County,AL,1051,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.58 ,$27.37 ,$33.45 ,$42.19 ,$22.61 ,$26.69 ,$30.29 ,$32.00 ,$11.30 ,$15.07 ,$18.60 ,$21.18 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Escambia County,AL,1053,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$12.81 ,$25.91 ,$32.09 ,$40.83 ,$21.44 ,$25.13 ,$28.74 ,$30.35 ,$10.72 ,$14.34 ,$17.92 ,$20.50 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Etowah County,AL,1055,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.16 ,$25.44 ,$30.56 ,$38.11 ,$21.36 ,$25.71 ,$29.31 ,$30.79 ,$10.68 ,$14.10 ,$17.15 ,$19.14 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Fayette County,AL,1057,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$12.81 ,$25.54 ,$31.34 ,$39.53 ,$21.44 ,$25.13 ,$28.74 ,$30.16 ,$10.72 ,$14.16 ,$17.55 ,$19.85 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Franklin County,AL,1059,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$12.81 ,$26.19 ,$32.64 ,$41.37 ,$21.34 ,$25.13 ,$28.74 ,$30.06 ,$10.67 ,$14.48 ,$18.20 ,$20.77 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Geneva County,AL,1061,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.02 ,$25.50 ,$30.89 ,$38.87 ,$21.21 ,$25.52 ,$29.12 ,$30.78 ,$10.61 ,$14.14 ,$17.32 ,$19.52 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Greene County,AL,1063,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$12.81 ,$25.54 ,$31.34 ,$39.71 ,$21.44 ,$25.13 ,$28.74 ,$30.35 ,$10.72 ,$14.16 ,$17.55 ,$19.94 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Hale County,AL,1065,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$14.55 ,$27.48 ,$33.29 ,$41.96 ,$22.86 ,$27.08 ,$30.68 ,$32.60 ,$11.43 ,$15.13 ,$18.52 ,$21.07 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Hale County,AL,1045,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$14.55 ,$27.48 ,$33.29 ,$41.96 ,$22.86 ,$27.08 ,$30.68 ,$32.60 ,$11.43 ,$15.13 ,$18.52 ,$21.07 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Henry County,AL,1067,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$12.84 ,$25.12 ,$30.50 ,$38.45 ,$21.31 ,$25.13 ,$28.74 ,$30.35 ,$10.66 ,$13.95 ,$17.13 ,$19.31 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Houston County,AL,1069,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.02 ,$25.50 ,$30.89 ,$38.87 ,$21.21 ,$25.52 ,$29.12 ,$30.78 ,$10.61 ,$14.14 ,$17.32 ,$19.52 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Jackson County,AL,1071,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$12.44 ,$25.11 ,$30.23 ,$37.61 ,$21.53 ,$25.38 ,$28.99 ,$30.29 ,$10.76 ,$13.94 ,$16.99 ,$18.89 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Jefferson County,AL,1073,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$15.16 ,$28.54 ,$34.69 ,$44.12 ,$23.74 ,$27.80 ,$31.40 ,$33.74 ,$11.87 ,$15.66 ,$19.22 ,$22.15 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Lamar County,AL,1075,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$12.81 ,$25.54 ,$31.34 ,$40.14 ,$21.44 ,$25.13 ,$28.74 ,$30.78 ,$10.72 ,$14.16 ,$17.55 ,$20.16 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Lauderdale County,AL,1077,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$12.98 ,$26.92 ,$33.37 ,$42.36 ,$21.63 ,$25.86 ,$29.46 ,$31.05 ,$10.82 ,$14.84 ,$18.56 ,$21.26 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Lawrence County,AL,1079,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$12.85 ,$26.72 ,$33.18 ,$42.19 ,$21.50 ,$25.67 ,$29.27 ,$30.88 ,$10.75 ,$14.75 ,$18.46 ,$21.18 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Lee County,AL,1081,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.45 ,$27.54 ,$33.93 ,$43.25 ,$22.05 ,$26.55 ,$30.15 ,$32.14 ,$11.02 ,$15.16 ,$18.84 ,$21.71 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Limestone County,AL,1083,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.47 ,$27.40 ,$33.85 ,$43.26 ,$22.31 ,$26.34 ,$29.95 ,$31.95 ,$11.16 ,$15.09 ,$18.80 ,$21.72 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Lowndes County,AL,1085,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.58 ,$27.37 ,$33.45 ,$42.19 ,$22.61 ,$26.69 ,$30.29 ,$32.00 ,$11.30 ,$15.07 ,$18.60 ,$21.18 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Macon County,AL,1087,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$12.85 ,$26.30 ,$32.69 ,$41.32 ,$21.06 ,$25.31 ,$28.92 ,$30.20 ,$10.53 ,$14.54 ,$18.22 ,$20.74 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Madison County,AL,1093,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.47 ,$27.40 ,$33.85 ,$43.26 ,$22.31 ,$26.34 ,$29.95 ,$31.95 ,$11.16 ,$15.09 ,$18.80 ,$21.72 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Madison County,AL,1089,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.47 ,$27.40 ,$33.85 ,$43.26 ,$22.31 ,$26.34 ,$29.95 ,$31.95 ,$11.16 ,$15.09 ,$18.80 ,$21.72 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Marengo County,AL,1091,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$12.81 ,$25.54 ,$31.34 ,$40.20 ,$21.44 ,$25.13 ,$28.74 ,$30.83 ,$10.72 ,$14.16 ,$17.55 ,$20.19 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Marion County,AL,1093,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$12.72 ,$25.54 ,$31.34 ,$39.75 ,$20.92 ,$25.13 ,$28.74 ,$30.39 ,$10.46 ,$14.16 ,$17.55 ,$19.96 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
